timestep,ID,x,y,z,u,v,w,fx,fy,fz,omx,omy,omz,tx,ty,tz
0.74,15,7.80351e-06,0.002002,0.00110438,5.40884e-05,0,0.000311551,1.12322e-09,0,2.1603e-09,0,-4.67371e-13,0,0,-5.64733e-25,0
0.74,16,0.0010088,0.002002,0.00110438,5.40884e-05,0,0.000311551,1.12322e-09,0,2.1603e-09,0,-4.67371e-13,0,0,-5.64733e-25,0
0.74,17,0.0020098,0.002002,0.00110438,5.40884e-05,0,0.000311551,1.12322e-09,0,2.1603e-09,0,-4.67371e-13,0,0,-5.64733e-25,0
0.74,18,0.000732192,0,0.00179522,0.00094586,0,-0.000623524,-1.12528e-09,0,-4.34002e-09,0,4.67371e-13,0,0,5.64733e-25,0
0.74,19,0.00173319,0,0.00179522,0.00094586,0,-0.000623524,-1.12528e-09,0,-4.34002e-09,0,4.67371e-13,0,0,5.64733e-25,0
0.74,20,0.00273419,0,0.00179522,0.00094586,0,-0.000623524,-1.12528e-09,0,-4.34002e-09,0,4.67371e-13,0,0,5.64733e-25,0
0.74,21,0.000732192,0.001001,0.00179522,0.00094586,0,-0.000623524,-1.12528e-09,0,-4.34002e-09,0,4.67371e-13,0,0,5.64733e-25,0
0.74,22,0.00173319,0.001001,0.00179522,0.00094586,0,-0.000623524,-1.12528e-09,0,-4.34002e-09,0,4.67371e-13,0,0,5.64733e-25,0
0.74,23,0.00273419,0.001001,0.00179522,0.00094586,0,-0.000623524,-1.12528e-09,0,-4.34002e-09,0,4.67371e-13,0,0,5.64733e-25,0
0.74,24,0.000732192,0.002002,0.00179522,0.00094586,0,-0.000623524,-1.12528e-09,0,-4.34002e-09,0,4.67371e-13,0,0,5.64733e-25,0
0.74,25,0.00173319,0.002002,0.00179522,0.00094586,0,-0.000623524,-1.12528e-09,0,-4.34002e-09,0,4.67371e-13,0,0,5.64733e-25,0
0.74,26,0.00273419,0.002002,0.00179522,0.00094586,0,-0.000623524,-1.12528e-09,0,-4.34002e-09,0,4.67371e-13,0,0,5.64733e-25,0
0.741,0,4.3432e-09,0,0.000103719,5.2675e-08,0,0.000312568,2.08463e-12,0,2.18225e-09,0,-2.03887e-20,0,0,-1.87406e-31,0
0.741,1,0.001001,0,0.000103719,5.2675e-08,0,0.000312568,2.08463e-12,0,2.18225e-09,0,-2.03887e-20,0,0,-1.87406e-31,0
0.741,2,0.002002,0,0.000103719,5.2675e-08,0,0.000312568,2.08463e-12,0,2.18225e-09,0,-2.03887e-20,0,0,-1.87406e-31,0
0.741,3,4.3432e-09,0.001001,0.000103719,5.2675e-08,0,0.000312568,2.08463e-12,0,2.18225e-09,0,-2.03887e-20,0,0,-1.87406e-31,0
0.741,4,0.001001,0.001001,0.000103719,5.2675e-08,0,0.000312568,2.08463e-12,0,2.18225e-09,0,-2.03887e-20,0,0,-1.87406e-31,0
0.741,5,0.002002,0.001001,0.000103719,5.2675e-08,0,0.000312568,2.08463e-12,0,2.18225e-09,0,-2.03887e-20,0,0,-1.87406e-31,0
0.741,6,4.3432e-09,0.002002,0.000103719,5.2675e-08,0,0.000312568,2.08463e-12,0,2.18225e-09,0,-2.03887e-20,0,0,-1.87406e-31,0
0.741,7,0.001001,0.002002,0.000103719,5.2675e-08,0,0.000312568,2.08463e-12,0,2.18225e-09,0,-2.03887e-20,0,0,-1.87406e-31,0
0.741,8,0.002002,0.002002,0.000103719,5.2675e-08,0,0.000312568,2.08463e-12,0,2.18225e-09,0,-2.03887e-20,0,0,-1.87406e-31,0
0.741,9,7.85775e-06,0,0.00110469,5.43955e-05,0,0.000312141,1.12826e-09,0,2.1626e-09,0,-4.68914e-13,0,0,-5.66162e-25,0
0.741,10,0.00100886,0,0.00110469,5.43955e-05,0,0.000312141,1.12826e-09,0,2.1626e-09,0,-4.68914e-13,0,0,-5.66162e-25,0
0.741,11,0.00200986,0,0.00110469,5.43955e-05,0,0.000312141,1.12826e-09,0,2.1626e-09,0,-4.68914e-13,0,0,-5.66162e-25,0
0.741,12,7.85775e-06,0.001001,0.00110469,5.43955e-05,0,0.000312141,1.12826e-09,0,2.1626e-09,0,-4.68914e-13,0,0,-5.66162e-25,0
0.741,13,0.00100886,0.001001,0.00110469,5.43955e-05,0,0.000312141,1.12826e-09,0,2.1626e-09,0,-4.68914e-13,0,0,-5.66162e-25,0
0.741,14,0.00200986,0.001001,0.00110469,5.43955e-05,0,0.000312141,1.12826e-09,0,2.1626e-09,0,-4.68914e-13,0,0,-5.66162e-25,0
0.741,15,7.85775e-06,0.002002,0.00110469,5.43955e-05,0,0.000312141,1.12826e-09,0,2.1626e-09,0,-4.68914e-13,0,0,-5.66162e-25,0
0.741,16,0.00100886,0.002002,0.00110469,5.43955e-05,0,0.000312141,1.12826e-09,0,2.1626e-09,0,-4.68914e-13,0,0,-5.66162e-25,0
0.741,17,0.00200986,0.002002,0.00110469,5.43955e-05,0,0.000312141,1.12826e-09,0,2.1626e-09,0,-4.68914e-13,0,0,-5.66162e-25,0
0.741,18,0.000733138,0,0.00179459,0.000945552,0,-0.000624709,-1.13034e-09,0,-4.34484e-09,0,4.68914e-13,0,0,5.66163e-25,0
0.741,19,0.00173414,0,0.00179459,0.000945552,0,-0.000624709,-1.13034e-09,0,-4.34484e-09,0,4.68914e-13,0,0,5.66163e-25,0
0.741,20,0.00273514,0,0.00179459,0.000945552,0,-0.000624709,-1.13034e-09,0,-4.34484e-09,0,4.68914e-13,0,0,5.66163e-25,0
0.741,21,0.000733138,0.001001,0.00179459,0.000945552,0,-0.000624709,-1.13034e-09,0,-4.34484e-09,0,4.68914e-13,0,0,5.66163e-25,0
0.741,22,0.00173414,0.001001,0.00179459,0.000945552,0,-0.000624709,-1.13034e-09,0,-4.34484e-09,0,4.68914e-13,0,0,5.66163e-25,0
0.741,23,0.00273514,0.001001,0.00179459,0.000945552,0,-0.000624709,-1.13034e-09,0,-4.34484e-09,0,4.68914e-13,0,0,5.66163e-25,0
0.741,24,0.000733138,0.002002,0.00179459,0.000945552,0,-0.000624709,-1.13034e-09,0,-4.34484e-09,0,4.68914e-13,0,0,5.66163e-25,0
0.741,25,0.00173414,0.002002,0.00179459,0.000945552,0,-0.000624709,-1.13034e-09,0,-4.34484e-09,0,4.68914e-13,0,0,5.66163e-25,0
0.741,26,0.00273514,0.002002,0.00179459,0.000945552,0,-0.000624709,-1.13034e-09,0,-4.34484e-09,0,4.68914e-13,0,0,5.66163e-25,0
0.742,0,4.39616e-09,0,0.000104032,5.32465e-08,0,0.000313163,2.10451e-12,0,2.18477e-09,0,-2.09062e-20,0,0,-1.91924e-31,0
0.742,1,0.001001,0,0.000104032,5.32465e-08,0,0.000313163,2.10451e-12,0,2.18477e-09,0,-2.09062e-20,0,0,-1.91924e-31,0
0.742,2,0.002002,0,0.000104032,5.32465e-08,0,0.000313163,2.10451e-12,0,2.18477e-09,0,-2.09062e-20,0,0,-1.91924e-31,0
0.742,3,4.39616e-09,0.001001,0.000104032,5.32465e-08,0,0.000313163,2.10451e-12,0,2.18477e-09,0,-2.09062e-20,0,0,-1.91924e-31,0
0.742,4,0.001001,0.001001,0.000104032,5.32465e-08,0,0.000313163,2.10451e-12,0,2.18477e-09,0,-2.09062e-20,0,0,-1.91924e-31,0
0.742,5,0.002002,0.001001,0.000104032,5.32465e-08,0,0.000313163,2.10451e-12,0,2.18477e-09,0,-2.09062e-20,0,0,-1.91924e-31,0
0.742,6,4.39616e-09,0.002002,0.000104032,5.32465e-08,0,0.000313163,2.10451e-12,0,2.18477e-09,0,-2.09062e-20,0,0,-1.91924e-31,0
0.742,7,0.001001,0.002002,0.000104032,5.32465e-08,0,0.000313163,2.10451e-12,0,2.18477e-09,0,-2.09062e-20,0,0,-1.91924e-31,0
0.742,8,0.002002,0.002002,0.000104032,5.32465e-08,0,0.000313163,2.10451e-12,0,2.18477e-09,0,-2.09062e-20,0,0,-1.91924e-31,0
0.742,9,7.9123e-06,0,0.001105,5.4704e-05,0,0.000312732,1.13332e-09,0,2.1649e-09,0,-4.70461e-13,0,0,-5.67596e-25,0
0.742,10,0.00100891,0,0.001105,5.4704e-05,0,0.000312732,1.13332e-09,0,2.1649e-09,0,-4.70461e-13,0,0,-5.67596e-25,0
0.742,11,0.00200991,0,0.001105,5.4704e-05,0,0.000312732,1.13332e-09,0,2.1649e-09,0,-4.70461e-13,0,0,-5.67596e-25,0
0.742,12,7.9123e-06,0.001001,0.001105,5.4704e-05,0,0.000312732,1.13332e-09,0,2.1649e-09,0,-4.70461e-13,0,0,-5.67596e-25,0
0.742,13,0.00100891,0.001001,0.001105,5.4704e-05,0,0.000312732,1.13332e-09,0,2.1649e-09,0,-4.70461e-13,0,0,-5.67596e-25,0
0.742,14,0.00200991,0.001001,0.001105,5.4704e-05,0,0.000312732,1.13332e-09,0,2.1649e-09,0,-4.70461e-13,0,0,-5.67596e-25,0
0.742,15,7.9123e-06,0.002002,0.001105,5.4704e-05,0,0.000312732,1.13332e-09,0,2.1649e-09,0,-4.70461e-13,0,0,-5.67596e-25,0
0.742,16,0.00100891,0.002002,0.001105,5.4704e-05,0,0.000312732,1.13332e-09,0,2.1649e-09,0,-4.70461e-13,0,0,-5.67596e-25,0
0.742,17,0.00200991,0.002002,0.001105,5.4704e-05,0,0.000312732,1.13332e-09,0,2.1649e-09,0,-4.70461e-13,0,0,-5.67596e-25,0
0.742,18,0.000734083,0,0.00179397,0.000945243,0,-0.000625895,-1.13542e-09,0,-4.34967e-09,0,4.70461e-13,0,0,5.67596e-25,0
